idpunto;idce;SPcod;ETAce;DEcod;FEha;Dce;Hce;Vce;Wce
22331;2;10;2;3;18.84445784;32;1.175;0.094499107;0.037513953
20581;1;280;2;4;18.84445784;33.5;0.285;0.025120273;0.010310147
25599;3;10;2;3;18.84445784;59;0.6;0.16403826;0.065119384
22731;8;10;2;4;18.84445784;33;0.39;0.033356645;0.011499367
34747;1;51;2;4;18.84445784;28.5;0.225;0.014353642;0.004948273
34747;2;510;2;5;18.84445784;15;0.06;0.001060288;0.000325333
34747;3;51;2;4;18.84445784;25.5;0.19;0.009703398;0.003345149
34747;4;80;2;3;18.84445784;18.5;0.145;0.003897637;0.001547271
34747;5;330;2;3;18.84445784;19.5;0.31;0.009258077;0.004165686
34747;6;330;2;3;18.84445784;13;0.17;0.002256449;0.001015293
34747;7;330;2;4;18.84445784;19.5;0.09;0.002687829;0.001103169
34747;8;330;2;3;18.84445784;22;0.15;0.005701991;0.002565619
34747;9;120;2;5;18.84445784;14;0.15;0.002309071;0.000626194
34747;10;330;2;4;18.84445784;34.5;0.08;0.007478561;0.003069436
34747;11;20;2;3;18.84445784;10.5;0.085;0.000736016;0.000292181
34747;12;120;2;4;18.84445784;11.5;0.105;0.001090624;0.000375981
96422;1;452;2;4;18.84445784;13;0.55;0.007300276;0.002996262
96422;2;452;2;5;18.84445784;12;0.425;0.004806637;0.001474842
96422;3;452;2;5;18.84445784;11;0.4;0.003801327;0.001166378
96422;4;452;2;4;18.84445784;16;0.55;0.011058406;0.004538716
96422;5;402;2;5;18.84445784;16;0.7;0.014074335;0.004318491
96422;6;500;2;5;18.84445784;16;0.5;0.010053096;0.003084637
96422;7;260;2;5;18.84445784;16;0.3;0.006031858;0.001850782
96422;8;402;2;4;18.84445784;12;0.65;0.007351327;0.003017215
96422;9;402;2;5;18.84445784;19;0.45;0.012758793;0.003914838
96422;10;452;2;4;18.84445784;14;0.515;0.007927809;0.003253821
96422;11;452;2;5;18.84445784;11;0.585;0.005559441;0.001705828
96422;12;452;2;5;18.84445784;10;0.625;0.004908739;0.00150617
96422;13;452;2;5;18.84445784;14;0.16;0.002463009;0.000755736
96422;14;402;2;5;18.84445784;12;0.625;0.007068583;0.002168885
282362;1;308;2;2;18.84445784;31.5;0.225;0.017534505;0.008667055
282362;2;308;2;2;18.84445784;55;0.435;0.103348581;0.051083727
27005;1;308;2;3;18.84445784;13.5;0.125;0.001789235;0.000805069
27005;2;308;2;3;18.84445784;28.5;0.185;0.011801884;0.005310275
27005;3;308;2;3;18.84445784;33;0.18;0.015395375;0.006927172
27005;4;308;2;3;18.84445784;20.5;0.175;0.005776113;0.00259897
27005;5;260;2;2;18.84445784;22;0.165;0.00627219;0.003100254
99707;15;440;2;3;18.84445784;27.5;0.125;0.007424467;0.00334065
187199;1;260;2;1;18.84445784;10;0.58;0.004555309;0.002329307
241796;1;300;2;1;18.84445784;14.5;0.06;0.00099078;0.000506624
241796;2;300;2;1;18.84445784;15.5;0.035;0.000660422;0.000337699
241796;3;300;2;2;18.84445784;35.5;0.2;0.019795961;0.009784861
241796;4;300;2;2;18.84445784;13.5;0.09;0.001288249;0.000636763
241796;5;300;2;2;18.84445784;16.5;0.09;0.001924422;0.000951214
241796;6;300;2;2;18.84445784;12.5;0.095;0.001165825;0.000576251
241796;7;300;2;1;18.84445784;22;0.07;0.002660929;0.001360637
241796;8;300;2;2;18.84445784;14;0.09;0.001385442;0.000684804
241796;9;300;2;2;18.84445784;15;0.05;0.000883573;0.000436737
241796;10;300;2;2;18.84445784;20;0.1;0.003141593;0.001552844
241796;11;300;2;3;18.84445784;26.5;0.08;0.004412367;0.001985351
241796;12;300;2;3;18.84445784;24;0.06;0.002714336;0.00122132
241796;13;300;2;1;18.84445784;21.5;0.095;0.003448978;0.001763597
9496;1;80;2;3;18.84445784;51.5;0.405;0.084364427;0.033490721
9496;2;20;2;4;18.84445784;46;0.175;0.029083294;0.010026172
9496;3;10;2;4;18.84445784;38;0.2;0.022682299;0.007819494
9496;4;10;2;4;18.84445784;12;0.135;0.001526814;0.000526354
9496;5;10;2;2;18.84445784;26.5;0.21;0.011582463;0.005222452
9496;6;10;2;3;18.84445784;14;0.08;0.001231504;0.000488879
9496;7;120;2;4;18.84445784;25.5;0.16;0.008171282;0.002816967
9496;8;120;2;4;18.84445784;34.5;0.195;0.018228993;0.006284262
9496;9;120;2;4;18.84445784;30.5;0.085;0.006210241;0.002140918
9496;10;10;2;4;18.84445784;17.5;0.09;0.002164754;0.000746277
124407;4;330;2;3;18.84445784;16;0.325;0.006534513;0.002940214
124407;6;330;2;5;18.84445784;18.5;0.42;0.011289706;0.003464071
22325;11;330;2;1;18.84445784;25;0.175;0.008590292;0.004392552
22325;31;330;2;2;18.84445784;29.5;0.225;0.015378587;0.007601416
22325;49;330;2;2;18.84445784;21.5;0.185;0.006716431;0.003319836
36341;1;280;2;5;18.84445784;17;0.34;0.007717322;0.002367941
36341;2;510;2;5;18.84445784;15;0.27;0.004771294;0.001463998
36341;3;510;2;4;18.84445784;19;0.3;0.008505862;0.003491072
36341;4;510;2;5;18.84445784;13;0.22;0.00292011;0.000895991
36341;5;280;2;4;18.84445784;12;0.4;0.004523893;0.001856748
36341;6;280;2;4;18.84445784;10.5;0.25;0.002164754;0.000888483
36341;7;280;2;5;18.84445784;17.5;0.485;0.011665617;0.003579414
36341;8;280;2;4;18.84445784;47.5;0.135;0.023922737;0.00981864
36341;9;280;2;5;18.84445784;65;0.33;0.109504139;0.033599647
36341;10;280;2;4;18.84445784;28.5;0.16;0.010207035;0.004189287
158089;1;300;2;2;18.84445784;30;0.075;0.005301438;0.002620425
158089;2;300;2;2;18.84445784;19;0.03;0.000850586;0.000420433
158089;3;300;2;2;18.84445784;23.5;0.085;0.003686757;0.001822311
158089;4;300;2;2;18.84445784;34.5;0.04;0.003739281;0.001848273
158089;5;300;2;2;18.84445784;11;0.04;0.000380133;0.000187894
158089;6;300;2;2;18.84445784;18;0.085;0.002162987;0.001069133
158089;7;300;2;2;18.84445784;33;0.05;0.004276493;0.002113809
158089;8;300;2;2;18.84445784;16;0.045;0.000904779;0.000447219
158089;9;300;2;2;18.84445784;40;0.06;0.007539822;0.003726826
158089;10;300;2;2;18.84445784;30;0.085;0.006008296;0.002969815
158089;11;300;2;2;18.84445784;47.5;0.07;0.012404382;0.006131309
158089;12;300;2;2;18.84445784;19.5;0.05;0.001493238;0.000738086
158089;13;300;2;2;18.84445784;55;0.06;0.014254977;0.007046031
158089;14;300;2;2;18.84445784;32.5;0.07;0.005807038;0.002870336
158089;15;300;2;2;18.84445784;23.5;0.025;0.00108434;0.000535974
158089;16;300;2;2;18.84445784;35;0.065;0.006253733;0.003091131
158089;17;300;2;2;18.84445784;27.5;0.065;0.003860723;0.0019083
