idpunto;LAT_ND_W84;LON_ND_W84;NORD_ND_GB;EST_ND_GB;FUSO;codISTAT05;nomedist05;codcfor;Napv_ha;Gapv_ha;Vapv_ha;W1apv_ha;W2apv_ha;W3apv_ha;W4apv_ha;Capv_ha;Napm_ha;Gapm_ha;Vapm_ha;Wapm_ha;Capm_ha;ICVapv_ha;ICWapv_ha;ICCapv_ha;Nce_ha;Vce_ha;Wce_ha;Cce_ha;Vne_ha;Wne_ha;Cne_ha;Nrin1_ha;Wrin1_ha;Crin1_ha;Nrin2_ha;Wrin2_ha;Crin2_ha;Nrin3_ha;Wrin3_ha;Crin3_ha;Warb1_ha;Carb1_ha;Warb2_ha;Carb2_ha;Warb3_ha;Carb3_ha;Vut_ha;Wut_ha;Cut_ha
136430;43.44573855;10.79676539;4811898;1645419;Ovest;009;Toscana;13;492.3114612;6.604494647;33.16945904;13.98377604;5.766167404;0.481903943;20.23184738;10.11592369;37.68891569;2.220430397;12.85315602;6.743640901;3.371820451;1.45623876;0.927944023;0.463972011;0;0;0;0;0.480149727;0.246325989;0.123162994;0;0;0;0;0;0;0;0;0;0.596712;0.298356;2.10130342;1.05065171;0;0;0;0;0
136480;43.44573855;11.41443772;4813162;1695402;Ovest;009;Toscana;6;2518.09068;34.62332178;208.2081533;91.29931888;29.98138669;2.012809274;123.2935148;61.64675742;18.84445784;0.290087891;1.338931154;0.567547801;0.2837739;4.059333738;2.409370685;1.204685343;0;0;0;0;2.156532126;0.737485355;0.368742677;1591.549431;0.052148709;0.026074354;7161.972439;2.374895737;1.187447868;3183.098862;6.856808751;3.428404376;1.390445224;0.695222612;6.398544374;3.199272187;0;0;0;0;0
136495;43.44573855;11.59973941;4813614;1710397;Ovest;009;Toscana;9;113.0667471;7.541545135;53.06964201;34.10254964;7.923104213;0.771690559;42.79734442;21.39867221;0;0;0;0;0;0.519390256;0.435296872;0.217648436;263.8224098;1.725362481;0.874400898;0.437200449;0;0;0;0;0;0;795.7747155;0.263877304;0.131938652;0;0;0;0.494904232;0.247452116;5.429067954;2.714533977;0;0;0;0;0
136525;43.44573855;11.97034281;4814617;1740388;Ovest;009;Toscana;10;330.9557909;2.595250593;10.40488834;6.603657858;1.998741065;0.190954837;8.793353761;4.39667688;0;0;0;0;0;0.713074772;0.582583816;0.291291908;0;0;0;0;0;0;0;2387.324146;0.078223063;0.039111531;4774.648293;1.583263825;0.791631912;3183.098862;6.856808751;3.428404376;0.188534946;0.094267473;6.010753806;3.005376903;9.593648294;4.796824147;0;0;0
136536;43.44573855;12.10623072;4814398;2285844;Est;010;Umbria;14;906.8895338;10.69893352;44.9263505;26.81442619;10.15219849;0.85250778;37.81913246;18.90956623;0;0;0;0;0;2.57013303;1.910721129;0.955360564;0;0;0;0;0;0;0;3978.873577;0.130371772;0.065185886;3978.873577;1.31938652;0.65969326;2387.324146;5.142606563;2.571303282;1.151947782;0.575973891;2.981719125;1.490859562;4.796824147;2.398412073;0;0;0
136540;43.44573855;12.15564451;4814260;2289843;Est;010;Umbria;13;1577.045566;22.68596457;153.3110009;91.32753537;30.16600572;2.389390003;123.8829311;61.94146554;274.4224174;1.708428971;6.994065692;3.673965333;1.836982666;5.500667169;3.505133471;1.752566736;0;0;0;0;0;0;0;0;0;0;795.7747155;0.263877304;0.131938652;1591.549431;3.428404376;1.714202188;0.269604605;0.134802302;0.864642852;0.432321426;1.598941382;0.799470691;0;0;0
136551;43.44573855;12.29153242;4813893;2300840;Est;010;Umbria;10;944.5784495;15.84993613;105.3257786;69.53691689;14.33651262;1.94852806;85.82195757;42.91097878;0;0;0;0;0;3.400178125;2.777953766;1.388976883;1036.445181;4.129613878;2.111632682;1.055816341;0;0;0;4774.648293;0.156446126;0.078223063;0;0;0;0;0;0;0.164968077;0.082484039;1.357266988;0.678633494;0;0;220.2869099;174.697107;87.34855352
136567;43.44573855;12.48918756;4813392;2316835;Est;010;Umbria;10;7303.405194;23.97813222;81.53720107;49.8652533;38.31922732;4.130005815;92.31448643;46.15724322;0;0;0;0;0;2.206873777;1.803021223;0.901510612;0;0;0;0;0;0;0;6366.197724;0.208594835;0.104297417;0;0;0;0;0;0;0.565604837;0.282802418;0.387790568;0.193895284;0;0;0;0;0
136581;43.44573855;12.66213581;4812984;2330830;Est;011;Marche;12;774.9783289;11.33350078;72.43488679;42.1105018;14.22630815;1.291081238;57.62789119;28.81394559;18.84445784;0.133573633;0.662931209;0.346557985;0.173278992;2.466144484;2.111897108;1.055948554;18.84445784;0.543914795;0.223239662;0.111619831;0;0;0;0;0;0;0;0;0;0;0;0;0.023566868;0.011783434;3.264675125;1.632337562;0;0;0;0;0
136739;43.43673775;11.34048184;4811992;1689445;Ovest;009;Toscana;12;1378.00098;22.03502437;142.0624659;88.51046791;23.40862721;2.613503202;114.5325983;57.26629916;18.84445784;0.179084871;0.882829974;0.461513612;0.230756806;5.278381896;4.520172898;2.260086449;18.84445784;5.062860663;1.553460271;0.776730135;0;0;0;3183.098862;0.104297417;0.052148709;0;0;0;0;0;0;0.117834341;0.05891717;2.132848125;1.066424062;9.593648294;4.796824147;0;0;0
136759;43.43673775;11.58751415;4812583;1709439;Ovest;009;Toscana;9;188.4445784;9.05710636;81.18299787;52.20284683;11.83389518;1.179467705;65.21620972;32.60810486;0;0;0;0;0;2.489726581;2.086620187;1.043310093;0;0;0;0;0;0;0;0;0;0;795.7747155;0.263877304;0.131938652;0;0;0;0.047133736;0.023566868;14.70449688;7.352248442;1.598941382;0.799470691;0;0;0
136800;43.43673775;12.09393038;4813433;2284814;Est;010;Umbria;11;527.6448197;12.3857169;85.31879563;41.97354737;11.64527124;1.428437697;55.04725632;27.52362816;94.22228922;9.808596801;46.6637383;24.53556659;12.2677833;3.052882277;1.979045411;0.989522706;0;0;0;0;0;0;0;8753.52187;0.286817898;0.143408949;1591.549431;0.527754608;0.263877304;795.7747155;1.714202188;0.857101094;0.444941736;0.222470868;0.581685852;0.290842926;0;0;0;0;0
